subcluster	subtype	kdm6b_rank	kdm6b_group	comparison	comparison_condition	sccomp_reference_condition	effect_41bbl_vs_condition	lower_41bbl_vs_condition	upper_41bbl_vs_condition	c_pH0	c_FDR	significant_direction	status_in_41bbl	c_rhat	c_ess_bulk	c_ess_tail
8	Perivascular macrophages	13	Kdm6b-low	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.5963093553055	-0.9286220357000001	-0.26848488719999997	4.999999999999449e-4	4.999999999999449e-4	Enriched in CD28-41BB	Depleted in 41BB-L	1.0003613039720514	3977.667303776987	3702.2183490304087
8	Perivascular macrophages	13	Kdm6b-low	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	-0.2914990143049788	-0.629670826375	0.0315589775775	0.12350000000000005	0.021583333333333326	Enriched in CD8-41BB	Depleted in 41BB-L	1.0004380438467233	3659.4670429395687	3708.4174734517064
8	Perivascular macrophages	13	Kdm6b-low	41BB-L vs STOP	STOP	41BB-L	-0.15790200746466132	-0.49533986122500034	0.184798839125	0.36650000000000005	0.13748214285714286	Not significantly different	Not significantly different	1.0001253278279307	2943.2717148130396	2257.398243726609
8	Perivascular macrophages	13	Kdm6b-low	41BB-L vs tumor	tumor	41BB-L	-0.84702153239475	-1.1729520122500003	-0.526005338225	0	0	Enriched in tumor	Depleted in 41BB-L	0.9998546718483465	3067.7967970951327	3379.811696768015
13	Homeostatic microglia	14	Kdm6b-low	41BB-L vs B7H3	B7H3	41BB-L	-0.423598580352396	-0.7759831761000003	-0.06693195573499999	0.03500000000000003	0.017499999999999998	Enriched in B7H3	Depleted in 41BB-L	1.0005239508805863	408.52411239516186	1054.0041887522334
13	Homeostatic microglia	14	Kdm6b-low	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.4925920928763435	-0.857161959	-0.126591539025	0.019000000000000017	0.012249999999999983	Enriched in CD28-41BB	Depleted in 41BB-L	1.0073583133381565	358.47968785280943	970.8286142030765
13	Homeostatic microglia	14	Kdm6b-low	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	-0.50194732349269	-0.8517507653	-0.15753695427500003	0.012499999999999956	0.003958333333333323	Enriched in CD8-41BB	Depleted in 41BB-L	1.0068073607287644	393.61431669404067	1477.7820940251231
13	Homeostatic microglia	14	Kdm6b-low	41BB-L vs STOP	STOP	41BB-L	-0.396197878611535	-0.75159687475	-0.03225794943000001	0.05425000000000002	0.024083333333333328	Enriched in STOP	Depleted in 41BB-L	1.0050463390947273	344.4004724976364	835.4312001638895
13	Homeostatic microglia	14	Kdm6b-low	41BB-L vs tumor	tumor	41BB-L	-0.41459224419738	-0.7896566977000001	-0.0468923616725	0.05025000000000002	0.010545454545454545	Enriched in tumor	Depleted in 41BB-L	1.0004436734377868	403.93753647678136	965.7977854387848
2	Stress-response microglia	15	Kdm6b-low	41BB-L vs B7H3	B7H3	41BB-L	0.4635512115640575	0.15216614189999997	0.785078621175	0.01200000000000001	0.011749999999999983	Enriched in 41BB-L	Enriched in 41BB-L	1.0001456792548953	3658.739844556971	3209.625305213067
2	Stress-response microglia	15	Kdm6b-low	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.2619260803225215	-0.576279805875	0.03912852763499999	0.14725	0.03816666666666666	Enriched in CD28-41BB	Depleted in 41BB-L	1.0007235280915372	2379.787166883572	3169.160325396505
2	Stress-response microglia	15	Kdm6b-low	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	0.434669139805435	0.10814699634999998	0.758663725775	0.022499999999999964	0.0066071428571428436	Enriched in 41BB-L	Enriched in 41BB-L	0.9998285595364828	3822.3677035579904	3477.3331806550887
2	Stress-response microglia	15	Kdm6b-low	41BB-L vs STOP	STOP	41BB-L	-0.3110983765039563	-0.6373809007000001	-0.008743315531750007	0.08775	0.03921875	Enriched in STOP	Depleted in 41BB-L	1.000370975372413	1588.5678606746565	2558.84904595508
2	Stress-response microglia	15	Kdm6b-low	41BB-L vs tumor	tumor	41BB-L	-0.50096431298455	-0.811519990725	-0.18600219777500002	0.005249999999999977	0.0013749999999999873	Enriched in tumor	Depleted in 41BB-L	1.000660355932919	1165.9353829109273	2585.0515638018683
9	Lipid-associated TAMs	16	Kdm6b-low	41BB-L vs B7H3	B7H3	41BB-L	-0.11969324354213218	-0.45249012117500004	0.22238273555000002	0.44275	0.10009375	Not significantly different	Not significantly different	1.001099436397238	1691.6065501812466	3695.851997564091
9	Lipid-associated TAMs	16	Kdm6b-low	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	0.24492267025140602	-0.09208229235000004	0.5826496591	0.1955	0.07578125	Not significantly different	Not significantly different	1.0004863389512968	1875.1273642551887	3399.304304538833
9	Lipid-associated TAMs	16	Kdm6b-low	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	0.579200719701975	0.2181885585249999	0.91514920825	0.005750000000000033	0.0022499999999999964	Enriched in 41BB-L	Enriched in 41BB-L	1.0002324017106103	2802.0534289739617	2746.7968711495246
9	Lipid-associated TAMs	16	Kdm6b-low	41BB-L vs STOP	STOP	41BB-L	0.7631574725019875	0.4066823604749999	1.1106178087499998	7.500000000000284e-4	7.500000000000284e-4	Enriched in 41BB-L	Enriched in 41BB-L	0.9997685882321101	1291.687816420057	3019.3718243393487
9	Lipid-associated TAMs	16	Kdm6b-low	41BB-L vs tumor	tumor	41BB-L	0.9149773734645	0.575170227975	1.26520521475	0	0	Enriched in 41BB-L	Enriched in 41BB-L	1.0004823077834346	999.4555956387063	3196.404583962833
