gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
H1f5	108.49746961256156	-4.892198221180486	0.418741625903382	-11.683095060411508	1.5552740811084e-31	1.5400054604415295e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Psmb8	151.41769589617797	-0.9897973833426352	0.08472331200841632	-11.682704085556876	1.5624459347272835e-31	1.5400054604415295e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Eomes	58.02965672037484	2.59391338365522	0.2220478411712949	11.681777088993138	1.579581795538539e-31	1.5400054604415295e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tcp11l2	50.876561208266885	2.2180416412778574	0.19067585382439597	11.632525025012216	2.8164125237138075e-31	2.7160012946074894e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tmpo	29.26554575322809	-2.3273917262751684	0.20067506626501636	-11.597812172647092	4.227477113918253e-31	4.0329222531916925e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Adgre5	149.87897338380154	1.206359353469816	0.10454929092444365	11.538666047401847	8.422115275566362e-31	7.949043268598379e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
H2ac8	106.00555665859916	-4.6932158819155765	0.40805554915334685	-11.501414186507903	1.2977156468318903e-30	1.2119298124939507e-28	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Itga2	23.757814569095444	3.1857579540464247	0.27779025013491515	11.468213706201672	1.90552092429957e-30	1.7610189208735195e-28	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Klra8	13.492691343848996	4.6258291709218895	0.4074555378441093	11.35296674429226	7.168825660115978e-30	6.556888789334945e-28	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ms4a6b	95.38749252340234	-1.8263377992362926	0.1623271019273334	-11.25097274301036	2.2905187328091324e-29	2.0736206323961857e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Pclaf	27.117398488756557	-4.681193535384947	0.41662172041586765	-11.236076531756979	2.7116815075185215e-29	2.430104882293366e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Ifrd1	136.7350388301741	1.2948848994205362	0.11530492044796728	11.23009230126366	2.9017525914958973e-29	2.57443489917516e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
