"gene","lineage","rho","p_val","p_adj","abs_rho","detected_frac","n_cells"
"Ddhd1","slingPseudotime_7",0.04211805711545,0.0245191719932731,0.0467923129642617,0.04211805711545,0.07576289021396,2851
"Ank","slingPseudotime_7",0.0420434094368618,0.0247741846875933,0.0471509071549511,0.0420434094368618,0.0277095755875132,2851
"Entpd1","slingPseudotime_7",0.0420300361305511,0.0248201125137109,0.0471509071549511,0.0420300361305511,0.0438442651701157,2851
"Sypl","slingPseudotime_7",0.0420299997584959,0.0248202375263663,0.0471509071549511,0.0420299997584959,0.0596282006313574,2851
"Psat1","slingPseudotime_7",0.0419707087937915,0.0250247496750916,0.0474672793533604,0.0419707087937915,0.0441950192914767,2851
"Hivep3","slingPseudotime_7",-0.041770377649549,0.0257265753318557,0.0486248890443871,0.041770377649549,0.0256050508593476,2851
"Rtn3","slingPseudotime_7",0.0417642422559686,0.0257483354928147,0.0486248890443871,0.0417642422559686,0.141003156787092,2851
"H4c1","slingPseudotime_7",-0.0417632823936343,0.0257517412379074,0.0486248890443871,0.0417632823936343,0.0592774465099965,2851
"Map3k8","slingPseudotime_7",0.0417189308820012,0.0259095327519125,0.0488490436499105,0.0417189308820012,0.120308663626798,2851
"Slc2a1","slingPseudotime_7",0.0416364214071844,0.0262053046443944,0.0493322753094775,0.0416364214071844,0.066292528937215,2851
"H2-Oa","slingPseudotime_7",0.0415888003407388,0.0263773359163873,0.0495814584894498,0.0415888003407388,0.0452472816555595,2851
"Lamc1","slingPseudotime_7",0.0415294094962851,0.026593251499288,0.0499122588199849,0.0415294094962851,0.0448965275341985,2851
"Hdac5","slingPseudotime_7",-0.0411305981039884,0.0280830352463653,0.0526293763987356,0.0411305981039884,0.05682216766047,2851
"Pycard","slingPseudotime_7",0.0410698359080775,0.0283162134459096,0.0529869263583637,0.0410698359080775,0.206594177481585,2851
"Isyna1","slingPseudotime_7",0.0410573761259464,0.0283642339861395,0.0529974476572113,0.0410573761259464,0.175727814801824,2851
"Trbv12-1","slingPseudotime_7",0.0410108922248702,0.028544004269262,0.0532537393083247,0.0410108922248702,0.033321641529288,2851
"Apol8","slingPseudotime_7",0.0409311533992029,0.0288546682748156,0.0537531078144851,0.0409311533992029,0.0420904945633111,2851
"Zbp1","slingPseudotime_7",0.0408764180488804,0.0290695984358636,0.0539986264170245,0.0408764180488804,0.230094703612767,2851
"Mast4","slingPseudotime_7",0.0408755900080589,0.029072860462926,0.0539986264170245,0.0408755900080589,0.0291125920729569,2851
"Acp2","slingPseudotime_7",-0.0407285096841121,0.0296572939793988,0.0550023998134251,0.0407285096841121,0.0224482637670993,2851
"Basp1","slingPseudotime_7",-0.0406655944157983,0.0299103590476304,0.0553895537919082,0.0406655944157983,0.0336723956506489,2851
"Ifnar2","slingPseudotime_7",0.0406108736239113,0.0301319697747574,0.0557173997314301,0.0406108736239113,0.117151876534549,2851
"Zswim4","slingPseudotime_7",0.0403660834228669,0.0311406800189202,0.057497562811891,0.0403660834228669,0.0845317432479832,2851
"Sema4f","slingPseudotime_7",-0.0402265724283265,0.0317284201124876,0.0584963497649107,0.0402265724283265,0.0361276745001754,2851
"Trim30a","slingPseudotime_7",0.0401317114599443,0.0321334640041402,0.0591558615687411,0.0401317114599443,0.175026306559102,2851
"Tmpo","slingPseudotime_7",0.0401050100009635,0.03224827146716,0.0592799107852207,0.0401050100009635,0.0940021045247282,2851
"Odf2","slingPseudotime_7",-0.0399731620660165,0.0328203376696689,0.0602429105537241,0.0399731620660165,0.115047351806384,2851
