"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype"
"CD8-like_STOP","4",5,"slingPseudotime_2",22.6960768538126,21.804390619495,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_STOP","5",14,"slingPseudotime_2",31.5382344959589,34.6925984333029,"Cytotoxic CD8 T cells","T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5:Cycling / proliferating CAR T cells"
"CD8-like_STOP","6",15,"slingPseudotime_2",3.57006941120679,5.99867831649405,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
"CD8-like_STOP","0",3,"slingPseudotime_3",20.6697747967536,22.6986975954358,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","1",1,"slingPseudotime_3",13.5395066883924,13.5395066883924,"Cytotoxic CD8 T cells","NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","2",67,"slingPseudotime_3",14.4797259130195,15.9759486537172,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_STOP","3",11,"slingPseudotime_3",28.8110181750511,31.2282785673409,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_STOP","4",1,"slingPseudotime_3",4.94712840943071,4.94712840943071,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_STOP","6",15,"slingPseudotime_3",3.43649076207267,4.47310537077318,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
"CD8-like_STOP","0",2,"slingPseudotime_4",19.8141975093516,19.8141975093516,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","1",24,"slingPseudotime_4",30.1713787034625,29.458534879313,"Cytotoxic CD8 T cells","NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","2",67,"slingPseudotime_4",15.2181872301581,16.2078694108275,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_STOP","3",1,"slingPseudotime_4",25.5138546623889,25.5138546623889,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_STOP","4",1,"slingPseudotime_4",4.95257096849462,4.95257096849462,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_STOP","6",15,"slingPseudotime_4",3.42799497734276,4.43904389354911,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
