cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Antigen-presenting myeloid cells	conditiontumor	condition	-0.14046783805	0.1734319320284352	0.462547610175	0.3015	0.10280555555555555	1.0029863852387542	580.1262563215884	924.1247761911725	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	(Intercept)	NA	-0.11387436455	0.08298376672368606	0.2610744939250001	0.5585	0.06513636363636365	1.0006537303417329	383.2180206276293	522.9574662685151	-6.586815106	-5.90780238932	-5.0414651575	0	0	1.0072650766947229	182.90247797729052	70.35166971822206
Cycling / proliferating CAR T cells	conditionB7H3	condition	0.25448842470000005	0.518277691391675	0.788958317525	0.0014999999999999458	8.749999999999591e-4	0.9999650741727335	620.0418632841156	1986.3172857233951	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionCD28-41BB	condition	-0.400560636725	-0.09758317567681632	0.2022598379750001	0.506	0.27958333333333335	1.0005460713497247	586.9062736716627	1809.2014827838411	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionCD8-41BB	condition	-0.028729165862500003	0.23900876746432395	0.5096141498750001	0.15500000000000003	0.04243750000000002	0.9998764408261753	849.9669019590706	2249.434453978099	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditionSTOP	condition	-0.24957095734999998	0.05387461670972515	0.36164164015	0.619	0.2047272727272727	1.000458309381099	435.89360041101713	1194.6414223194545	NA	NA	NA	NA	NA	NA	NA	NA
Cycling / proliferating CAR T cells	conditiontumor	condition	-0.6997700113499999	-0.3732815447255765	-0.0342160727925	0.054749999999999965	0.013749999999999984	1.0048020393627644	272.60234546938096	383.56790942731726	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	(Intercept)	NA	-0.7446319601000001	-0.526611700309	-0.31430337757499993	0	0	1.0016531654870757	619.12262123514	1692.3821898791546	-7.0878594685	-6.263285422035	-5.110389934	0	0	1.008129246218322	114.51088052225508	74.32301179899463
IFN-responsive T cells	conditionB7H3	condition	0.1513606107	0.43003353699625974	0.7158375684000001	0.012249999999999983	0.004124999999999962	1.002499805199851	485.05903246001645	978.7794477465981	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditionCD28-41BB	condition	-0.347441828675	-0.03412426060503983	0.269795771025	0.67425	0.3416590909090909	1.0008286631180947	910.4670783649685	1602.2679145632428	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditionCD8-41BB	condition	-1.0336703074999998	-0.7176882109355	-0.4076208303249999	0	0	1.0011694108635576	760.0489317322169	2475.732140475696	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditionSTOP	condition	-0.292700115675	-0.003223386198099075	0.291207394775	0.748	0.2833846153846154	1.001723837953669	855.1533982388427	1459.4983975431287	NA	NA	NA	NA	NA	NA	NA	NA
IFN-responsive T cells	conditiontumor	condition	-0.33593189375	0.04078569855800425	0.38265120330000013	0.6355	0.25225	1.0190713667983633	187.64358361186586	129.20274124877733	NA	NA	NA	NA	NA	NA	NA	NA
