"cluster","pathway","NES","pval","padj"
"CD4+ Helper T cells","GSE33513_TCF7_KO_VS_HET_EARLY_THYMIC_PROGENITOR_UP",1.75737170784465,0.000650149960227176,0.0140292874535727
"CD4+ Helper T cells","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_UP",1.75671348395488,0.000963207502101951,0.0176761429886413
"CD4+ Helper T cells","GSE13306_TREG_VS_TCONV_SPLEEN_UP",1.75554681006878,0.000619503235164638,0.0138869639231023
"CD4+ Helper T cells","GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN",1.75064909426747,0.000963930541024134,0.0176761429886413
"CD4+ Helper T cells","GSE3920_UNTREATED_VS_IFNA_TREATED_FIBROBLAST_UP",1.74843926499668,0.000263548331307791,0.00777153829344523
"CD4+ Helper T cells","GSE24292_WT_VS_PPARG_KO_MACROPHAGE_UP",1.74584489275905,0.000226623365939626,0.00697324319791868
"CD4+ Helper T cells","GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_UP",1.74574280295457,0.000674912360436278,0.014339364210952
"CD4+ Helper T cells","GSE18893_TCONV_VS_TREG_24H_CULTURE_UP",1.74315935103923,0.000619158278792392,0.0138869639231023
"CD4+ Helper T cells","GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_UP",1.74289478338565,0.00129439189070316,0.0213037123805431
"CD4+ Helper T cells","GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN",1.74028205747773,0.000326463549044888,0.00908595742678863
"CD4+ Helper T cells","GSE13229_IMM_VS_MATURE_NKCELL_UP",1.73933174616343,0.000858198111946175,0.0162271505594708
"CD4+ Helper T cells","GSE7460_FOXP3_MUT_VS_HET_ACT_TCONV_DN",1.73490072806177,0.00261806085905306,0.0347717788089782
"CD4+ Helper T cells","GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_DN",1.73460460218079,0.000846821825284945,0.0161446659589208
"CD4+ Helper T cells","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN",1.73268044957033,0.0128843701645777,0.093454128543657
"CD4+ Helper T cells","GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP",1.73264814397475,0.00112698939405694,0.0195898437128353
"CD4+ Helper T cells","GSE8685_IL2_ACT_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP",1.73023706379597,0.000477838779411319,0.0113808332365561
"CD4+ Helper T cells","GSE27786_NKTCELL_VS_ERYTHROBLAST_DN",1.72860618054429,0.00665947389021923,0.0610945067632334
