"cluster","pathway","NES","pval","padj"
"B cells","GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_UP",1.80265330735102,5.27435645599376e-05,0.00211276885249521
"B cells","GSE22886_NAIVE_TCELL_VS_DC_UP",1.80261296925133,8.75389218384267e-05,0.00303796556840796
"B cells","GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_UP",1.80208229607365,8.75389218384267e-05,0.00303796556840796
"B cells","GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_DN",1.79924030542491,0.00013245022917751,0.00417602754832574
"B cells","GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP",1.79905802530857,0.000846507144233428,0.0170902144371098
"B cells","GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_DN",1.79827380273088,0.000120996079456344,0.00394205226868767
"B cells","GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_DN",1.79646819809885,0.000176862603690384,0.00520679243515005
"B cells","GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP",1.79462720949393,2.45630417823784e-05,0.00118851074446023
"B cells","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_1H_ACT_CD4_TCELL_UP",1.79311252595052,0.00115296888579873,0.0215883484478866
"B cells","GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD8_TCELL_DN",1.79310026056845,5.01005523890008e-05,0.00202348264070287
"B cells","GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_DN",1.79199014612563,0.000162110144978711,0.00492069738205564
"B cells","GSE29617_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_DN",1.78295279593355,0.000428092468475758,0.0102053067972733
"B cells","GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN",1.7822288262084,0.000144191253104496,0.00450569684922442
"B cells","GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",1.78121254672297,6.34447817888582e-05,0.00236682937864237
"B cells","GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_DN",1.78002235858688,4.58571180502823e-05,0.0019154165462541
