"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rnasel",3.98001968779569e-105,-0.392176907890301,0.071,0.134,7.58392751509469e-101
"Rnd1",0.0020563650450565,3.59888793287624,0.003,0,1
"Rnd2",5.79124707179772e-21,-6.5245923054062,0,0,1.10352212953106e-16
"Rnd3",0.00103295056514017,0.693128665430959,0.06,0.047,1
"Rnf10",0,-1.14221910626893,0.038,0.098,0
"Rnf103",0.49373254741189,0.912655987184138,0.051,0.048,1
"Rnf11",7.52383991117305e-230,-0.90753676867624,0.023,0.068,1.43366769507402e-225
"Rnf111",2.15125882408393e-244,-0.625807352185544,0.089,0.193,4.09922368929193e-240
"Rnf112",0.000467063154611808,-0.526594368468038,0.001,0.001,1
"Rnf113a1",1.13724296014066e-05,0.292929578726911,0.006,0.008,0.216701646054803
"Rnf113a2",0.00209797720435213,1.04492621276162,0.095,0.077,1
"Rnf114",4.02706439165254e-101,-0.0025223889348131,0.185,0.255,7.67357119829391e-97
"Rnf115",1.6234954139322e-144,-0.530334273468596,0.043,0.094,3.09357051124781e-140
"Rnf121",2.99272469531886e-39,-0.677390329976278,0.008,0.027,5.70263690693008e-35
"Rnf122",6.78373397976879e-26,0.419667238954524,0.031,0.041,1.29264050984494e-21
"Rnf123",2.39395947497012e-13,0.556499230974766,0.036,0.031,4.56168977955557e-09
"Rnf125",0.172910078181384,0.300978919923923,0.001,0.001,1
"Rnf126",3.56859692559553e-12,0.335202530280716,0.071,0.076,6.79996144172228e-08
"Rnf128",1.15277089113587e-225,-1.02843051932043,0.056,0.131,2.1966049330594e-221
"Rnf13",0,-1.10204866326956,0.046,0.16,0
"Rnf130",0,-1.31150504342727,0.273,0.631,0
"Rnf133",0.184391950127172,2.73277339435158,0,0,1
"Rnf135",6.53171511628921e-56,-0.220669705805369,0.033,0.064,1.24461831540891e-51
"Rnf138",1.64767868798566e-74,0.200892454230236,0.171,0.222,3.13965173995667e-70
"Rnf138rt1",0.0338569421585734,-0.481415075709533,0,0,1
"Rnf139",6.03933170236799e-136,-0.818194258419608,0.026,0.078,1.15079465588622e-131
"Rnf14",8.50402385514341e-26,0.506741605022695,0.025,0.027,1.62044174559758e-21
"Rnf141",3.61468653625633e-194,-0.722543302833663,0.036,0.098,6.88778519483644e-190
"Rnf144a",6.23300887780206e-08,-0.544274618616766,0.001,0.002,0.00118769984166518
"Rnf144b",1.14256846156566e-27,0.230883685874459,0.037,0.054,2.17716420351336e-23
"Rnf145",3.23588634126216e-24,0.173070612544645,0.02,0.032,6.16598142327505e-20
"Rnf146",1.09364803061103e-116,-0.251858443871468,0.052,0.096,2.08394632232932e-112
"Rnf148",0.323856476142018,-1.05160219423247,0,0,1
"Rnf149",5.49924461962678e-29,0.158180659858906,0.323,0.358,1.04788106226988e-24
"Rnf150",1.46246435570038e-95,-0.441068918113068,0.032,0.062,2.78672582978707e-91
"Rnf151",0.358229975404443,1.49445534790767,0.002,0.001,1
"Rnf152",0.00733023013722994,-4.46511246621425,0,0,1
"Rnf157",1.65732128807889e-43,0.478375466379174,0.005,0.004,3.15802571443432e-39
"Rnf165",1.14791465712256e-16,-1.87449007061102,0,0,2.18735137914704e-12
"Rnf166",1.49598278689386e-57,-0.0191182260061056,0.078,0.119,2.85059520042625e-53
"Rnf167",0,-0.542671852873807,0.119,0.267,0
"Rnf168",8.53553792456549e-31,0.101976316647718,0.035,0.046,1.62644675152595e-26
"Rnf169",9.83114243345669e-158,-0.689029495294977,0.043,0.098,1.87332419069517e-153
"Rnf17",1.13863052211187e-18,-0.342575578254531,0.004,0.01,2.16966045988417e-14
"Rnf170",0.358138353227112,0.906073885002858,0.001,0.001,1
"Rnf180",2.22751473008567e-33,0.0943237387301292,0.043,0.065,4.24452931817824e-29
"Rnf181",6.91247643955856e-32,0.13094914222585,0.059,0.084,1.31717238555788e-27
"Rnf182",4.02588780644103e-05,-1.48236649178885,0,0,0.767132921517338
"Rnf183",0.0934281522554664,0.752436774858342,0,0,1
"Rnf185",2.64774937536646e-18,-0.0209377314056853,0.008,0.014,5.04528643476079e-14
"Rnf186",0.024929823446572,4.76632407108285,0,0,1
"Rnf187",0.20142745691664,0.731532338293113,0.056,0.027,1
"Rnf19a",6.55826139730098e-74,0.0750216500502541,0.059,0.077,1.2496767092557e-69
"Rnf19b",1.35491237846235e-159,-0.345754050335203,0.142,0.245,2.58178553716e-155
"Rnf2",0,-0.768529885974995,0.082,0.224,0
"Rnf20",3.332499236513e-157,-0.106234029453766,0.092,0.161,6.35007729517553e-153
"Rnf207",0.0669658328027249,-0.615991972464759,0,0,1
"Rnf208",7.35307477232108e-13,-0.822601465173649,0.001,0.001,1.40112839786578e-08
"Rnf212",0.12717233654014,-3.7639595194672,0,0,1
"Rnf212b",0.798800669227145,0.531099598465008,0,0,1
"Rnf213",2.27185407994052e-18,0.207707220007168,0.199,0.222,4.32901794932666e-14
"Rnf214",5.79557983328904e-208,-0.651947274232227,0.034,0.067,1.10434773723323e-203
"Rnf215",0.45153473394359,0.731464917078026,0.184,0.178,1
"Rnf216",0,-1.38737770495733,0.092,0.328,0
"Rnf217",0.0140266277994682,1.50877751279797,0.022,0.01,1
"Rnf220",9.50143931737279e-26,0.310174732079161,0.068,0.063,1.81049926192538e-21
"Rnf222",0.950798167867541,1.99617202898223,0,0,1
"Rnf223",0.0332852638371673,1.46411421700028,0,0,1
"Rnf224",0.868368807776778,2.24406406154024,0,0,1
"Rnf225",0.184174085615216,0.851970114717625,0.002,0.002,1
"Rnf227",4.00660637595439e-09,-0.765043571246428,0,0.001,7.63458844938109e-05
"Rnf24",9.74985097877752e-133,-1.26057384393115,0.012,0.046,1.85783410400606e-128
"Rnf25",8.93590428304503e-172,-0.85048372511023,0.05,0.112,1.70273656113423e-167
"Rnf26",0.162318023870138,1.0330573990938,0.015,0.012,1
"Rnf31",2.96797280936028e-16,0.401110794242656,0.14,0.155,5.65547218823601e-12
"Rnf32",0.0231549489115784,1.39170714421314,0,0,1
"Rnf34",3.95250036769932e-12,0.603984245350462,0.104,0.099,7.53148945065106e-08
"Rnf38",8.50033266790934e-270,-0.773976951026742,0.044,0.111,1.61973838987013e-265
"Rnf39",0.930766772975244,1.71230532152056,0,0,1
"Rnf4",2.62284956155019e-69,0.113545940551701,0.257,0.321,4.99783983953388e-65
"Rnf40",0.0584177791289734,0.863795748224793,0.167,0.144,1
"Rnf41",3.03885958141087e-21,0.427594920143334,0.057,0.069,5.79054693237841e-17
"Rnf43",0.773034565448426,-0.261198282890405,0,0.001,1
"Rnf44",2.19937187242034e-49,0.269697019602038,0.203,0.253,4.19090310289695e-45
"Rnf5",4.79711405692793e-08,0.494536569575208,0.038,0.039,0.000914090083547616
"Rnf6",0.000119700431947032,0.857228085286188,0.093,0.076,1
"Rnf8",0.442649610134284,1.28030973068312,0.012,0.007,1
"Rnft1",9.99118789080817e-91,-0.154184419122575,0.037,0.063,1.9038208525935e-86
"Rnft2",3.55710497274572e-11,-1.23176975921122,0.001,0.003,6.77806352556697e-07
"Rngtt",9.771554102239e-94,-1.39408736408522,0.007,0.034,1.86196963418164e-89
"Rnh1",1.24684967953154e-22,0.975656217164485,0.228,0.193,2.37587206434736e-18
"Rnmt",1.47439153024877e-14,0.2881465227651,0.017,0.025,2.80945306088903e-10
"Rnpc3",1.26512808449522e-96,0.150176338003887,0.04,0.056,2.41070156500564e-92
"Rnpep",2.14789545086257e-122,-0.140437348705672,0.196,0.295,4.09281478161863e-118
"Rnpepl1",1.82369028233398e-06,0.443389156034632,0.249,0.264,0.034750418329874
"Rnps1",0.0273358985061814,0.920781349518367,0.176,0.149,1
"Ro60",3.19997610103259e-45,-0.796597106341213,0.003,0.007,6.0975544605176e-41
"Robo1",1.83880994190174e-07,-2.47484145466241,0,0.001,0.00350385234429377
"Robo2",8.06330183231117e-05,0.239520956494951,0.001,0.001,1
"Robo4",0.570991271892957,4.82311444885174,0,0,1
"Rock1",0,-0.577102414624686,0.174,0.346,0
"Rock2",0,-0.592079526632967,0.124,0.287,0
"Rogdi",4.2290242679221e-107,-0.0366961872415521,0.295,0.396,8.05840574252557e-103
"Rom1",4.90845357273815e-08,1.03229233315328,0.001,0.001,0.000935305828285254
"Romo1",1.72699669209144e-139,-0.562545716185975,0.068,0.116,3.29079219678024e-135
"Ropn1",0.25617954870737,3.75608733015944,0,0,1
"Ropn1l",1.5515836914102e-12,0.0544580858299057,0.025,0.034,2.95654272398215e-08
"Ror1",0.00680201885557696,1.17482648071972,0,0,1
"Ror2",0.0178050408729929,3.24429166881072,0,0,1
"Rora",4.23990311503592e-15,-2.25148870435921,0,0.002,8.07913538570094e-11
"Rorb",0.0410267589952606,-2.08754817048122,0,0,1
"Rorc",0.0158197795669281,0.487771765887866,0,0,1
"Ros1",0.42036041011691,0.854535568850471,0,0,1
"Rp1",0.905566705456286,-0.406434387388048,0,0,1
