"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","contrast"
"HALLMARK_ANDROGEN_RESPONSE",0.68684084563034,1,0.143902565267782,-0.237459527736179,-1.00414394318142,108,"Stk39;Bmpr1b;Klk1b24;Dbi;Scd1;Klk1;Hmgcs1;B2m;Idi1;Fads1;Ccnd3;Elovl5;Ndrg1;Tnfaip8;Selenop;Ell2;Abcc4;Klk1b4;Herc3;Hsd17b14;Plpp1;Slc26a2;Gsr;Acsl3","41BB-L vs CD8-41BB"
"HALLMARK_ANGIOGENESIS",0.703783783783784,1,0.0334561741060507,0.35538014815116,0.86866218834141,36,"Lum;Fstl1;Kcnj8;Col3a1;Col5a2;Serpina5;Prg2;Spp1;Ccnd2;Slco2a1;Pglyrp1;Vtn","41BB-L vs CD8-41BB"
"HALLMARK_PROTEIN_SECRETION",0.73390134553421,1,NA,-0.204883376996561,-0.802843592264288,94,"Kif1b;Stx12;Arfgef1;Dnm1l;Rer1;Ocrl;Rab14;Mapk1;Stx7;Lamp2;Ap3s1;Atp6v1h;Sec24d;Scamp1;Rab22a;Ppt1;Dop1a;Vps4b;Copb1;Atp7a;Egfr;Arcn1;Gbf1;Arfgap3;Rab2a;Tmed2;Stam;Dst;Golga4;Ap1g1;Vamp4;Vamp3;Gosr2;Bnip3;Tsg101;Zw10;Igf2r;Snap23;Cltc;Galc","41BB-L vs CD8-41BB"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.770788912579957,1,0.0282923737721473,0.336350944899265,0.83010292788725,41,"Wnt1;Hey1;Gnai1;Wnt5b;Axin2;Dkk4;Peg12;Dkk1;Ccnd2;Dll1;Hey2;Jag2;Ncor2;Fzd1;Psen2;Ptch1","41BB-L vs CD8-41BB"
"HALLMARK_E2F_TARGETS",0.866133866133866,1,0.0179363489740654,0.318032588946533,0.856902332882721,197,"Cdkn2a;Rrm2;Kif2c;Kif4;Cdca8;Cdca3;Birc5;Mybl2;Spag5;Cdc20;Rad51ap1;Cdc25b;Mxd3;Stmn1;Cit;Cenpe;Brca1;Top2a;Ncapd2;Pole;Hmgb3;Timeless;Lig1;Bard1;Mad2l1;Ube2t;Melk;Spc24;Aurkb;Gins3;Dlgap5;Hells;Rpa2;Pold1;Ccnb2;Mcm7;Mcm5","41BB-L vs CD8-41BB"
"HALLMARK_MYC_TARGETS_V2",0.877551020408163,1,0.216542836735348,-0.230117374598663,-0.861472703139495,56,"Cbx3;Slc29a2;Mrto4;Bysl;Tfb2m;Srm;Mcm4;Aimp2;Ddx18;Wdr43;Pa2g4;Noc4l;Myc;Supv3l1;Tmem97;Rcl1;Rabepk;Farsa;Ipo4;Utp20;Nop16;Hspe1;Las1l;Npm1;Gnl3;Pprc1;Phb;Map3k6;Mphosph10;Ndufaf4;Tbrg4;Ppan;Imp4;Prmt3;Slc19a1;Nop56;Nip7;Wdr74;Mybbp1a;Pus1;Hk2;Tcof1;Nop2;Plk1;Sord;Plk4;Rrp9;Cdk4;Dctpp1;Nolc1;Exosc5;Grwd1;Ung;Hspd1;Mcm5;Dusp2","41BB-L vs CD8-41BB"
"HALLMARK_HEME_METABOLISM",0.888111888111888,1,0.0161937051076875,0.311234631877513,0.837899584359793,191,"Alas2;Osbp2;Ackr1;Sptb;Car1;Add2;Snca;Dmtn;Tspo2;Klf1;Pcx;Spta1;Epb42;Ank1;Rap1gap;Ftcd;Acsl6;Tspan5;Bcam;Hbb-bt;Hba-x;Fn3k","41BB-L vs CD8-41BB"
"HALLMARK_TGF_BETA_SIGNALING",0.92,1,0.208955027549354,-0.227964510939691,-0.840414260386241,54,"Wwtr1;Lefty2;Thbs1;Cdh1;Ppm1a;Xiap;Ube2d3;Trim33;Smurf2;Hipk2;Nog;Apc;Bmpr1a;Tgfbr1;Bmpr2","41BB-L vs CD8-41BB"
"HALLMARK_G2M_CHECKPOINT",0.922077922077922,1,0.0132626420191661,0.299765035261809,0.807463005657211,193,"Kif2c;Tpx2;Pbk;Kif4;Prc1;Nusap1;Meis2;Dmd;Birc5;Kif11;Mybl2;Cdc20;Cdc25b;Stmn1;Cenpe;Top2a;Pole;Kif15;Hmgb3;Bard1;Mad2l1;Ube2c;Ttk;Aurkb;Rpa2;Kif20b;Marcks;Ccnb2;Mcm5;Cdc7;Rad54l;Exo1;Cenpf;Cdkn3;Chaf1a;Nek2;Chmp1a;Pml;G3bp1;Efna5;Ccnf;Tfdp1;Nasp;Atf5","41BB-L vs CD8-41BB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.9244126659857,1,0.0148592627836833,0.277300606362823,0.720149638612905,74,"Acat3;Avpr1a;Clu;Gnai1;Cbs;Scd2;Aldoc;Gldc;Gpx8;Mal2;Fads2","41BB-L vs CD8-41BB"
"HALLMARK_COAGULATION",0.967871485943775,1,0.00893801210835004,0.268612983465344,0.715460268291873,138,"Mmp15;Vwf;Cfi;Fbn1;C8b;Mmp1b;Clu;Acox2;Mmp7;Hmgcs2;Mmp11;Crip2;C9;F11;Itga2;Rgn;Serpinb2;C8g;Plat;Fga;Mep1a;Proc;Hnf4a;Mmp3;Dusp14;Ctsk","41BB-L vs CD8-41BB"
"HALLMARK_UV_RESPONSE_UP",0.982017982017982,1,0.00617356336775808,0.255081420563768,0.683913246911359,155,"Lhx2;Kcnh2;Nkx2-5;Nptxr;Tyro3;Abcb1a;Col2a1;Ret;Ntrk3;Mapk8ip2;Onecut1;Cdkn2b;Ptprd;Chrna5;Aqp3;Cck;Ephx1;Cyp1a1;Fosb;Shox2;Tap1;Clcn2;Fos;Slc6a8;Tst;Dnajb1;Junb;Spr;Rhob;Ap2s1;Acaa1a;Hspa2;Stard3;Sigmar1;Nr4a1;Tchh;Sqstm1;Cdc34","41BB-L vs CD8-41BB"
"HALLMARK_NOTCH_SIGNALING",0.988030467899891,1,0.0146010500585968,0.221100115661393,0.534036185334381,32,"Wnt2;Dtx1;Fzd7;Dll1;Fzd1;Psen2;Fzd5;Prkca;Aph1a","41BB-L vs CD8-41BB"
"HALLMARK_IL2_STAT5_SIGNALING",0.995004995004995,1,0.00323243877654383,0.245222679091328,0.660738229497347,198,"Col6a1;Scn9a;Ncs1;Spry4;Abcb1a;Drc1;Etv4;Syt11;Ccr4;Selp;Map6;Rora;Il13;Ikzf4;Tnfsf11;Rgs16;Tnfrsf8;Lrig1;Fah;Eomes;Socs2;Bcl2;Socs1;Tnfrsf4;Il3ra;Ikzf2","41BB-L vs CD8-41BB"
