"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nkx2-2",0.903941801101961,2.21524107189797,0,0,1
"Nkx2-3",0.116060900803536,-4.57257405286281,0,0,1
"Nkx2-4",0.270417515098476,0.280653153547,0,0,1
"Nkx2-5",0.117363292810968,2.61853713783207,0,0,1
"Nkx2-6",0.116060900803536,-3.97646929504177,0,0,1
"Nkx2-9",0.890418172290566,3.0104892836551,0,0,1
"Nkx3-1",0.119075682945507,3.52489894125359,0,0,1
"Nkx3-2",1,0.280653153547,0,0,1
"Nkx6-1",0.134162038938295,1.52705411312864,0,0,1
"Nkx6-2",0.115115682029717,1.91238697461237,0,0,1
"Nkx6-3",0.811430402909124,-1.45876738595951,0,0,1
"Nle1",0.00053058543799015,0.41922612752797,0.042,0.037,1
"Nlgn1",0.378801363488878,0.269818179824854,0,0,1
"Nlgn2",0.164055783539464,-0.0282975269480303,0.002,0.002,1
"Nlgn3",0.419702356398429,-0.575608222841892,0,0,1
"Nlk",0.219722111574292,-0.0456940703135085,0.027,0.025,1
"Nln",0.264239615081902,-0.0175256502726158,0.062,0.06,1
"Nlrc3",0.00316096123730336,0.346577565224288,0.019,0.013,1
"Nlrc4",0.152595025913067,-0.12775721121938,0.008,0.009,1
"Nlrc5",3.11800452813443e-82,-0.768974323506778,0.193,0.265,5.94135762836016e-78
"Nlrp10",0.0922404764902117,-0.846605198855212,0.001,0.002,1
"Nlrp12",0.049271340583409,-4.48890705563418,0,0,1
"Nlrp14",0.0562611269131807,4.62263236800036,0,0,1
"Nlrp1a",0.70270031841205,0.143481588103244,0.016,0.015,1
"Nlrp1b",0.0520355658969226,-0.109520427124622,0.062,0.07,1
"Nlrp2",0.890418172290566,3.34293743180134,0,0,1
"Nlrp3",2.61713191219454e-08,0.220774920722509,0.335,0.316,0.00049869448586867
"Nlrp4a",0.680833009896151,-0.987848490734402,0,0,1
"Nlrp4b",0.270417515098476,4.53983676532231,0,0,1
"Nlrp4c",1,0.280653153547,0,0,1
"Nlrp4e",0.119075682945507,2.11765910922085,0,0,1
"Nlrp4f",1,0.280653153547,0,0,1
"Nlrp5",1,0.280653153547,0,0,1
"Nlrp6",0.466539306769775,-1.17159444879493,0,0,1
"Nlrp9a",0.890477416459935,-3.45929639117097,0,0,1
"Nlrp9b",0.811380058062426,0.342313882993654,0,0,1
"Nlrp9c",0.119075682945507,2.87164447641758,0,0,1
"Nlrx1",0.00922715444742975,-0.282742914409689,0.021,0.023,1
"Nmb",0.000419774471419222,-2.0279391290868,0.003,0.009,1
"Nmbr",0.047470893939169,2.27126461492063,0,0,1
"Nmd3",1.56694881390394e-09,0.47588983576321,0.092,0.073,2.98582096489395e-05
"Nme1",0.133965219219573,-0.360459209204631,0.053,0.06,1
"Nme2",0.000120908743495248,-0.545963520808613,0.11,0.123,1
"Nme3",0.280865740355603,0.501727627033787,0.001,0.002,1
"Nme4",0.678495301409322,-0.76160161655977,0.003,0.004,1
"Nme5",0.41826451366557,0.280653153547,0,0,1
"Nme6",0.697735848744136,0.279545396344782,0.009,0.007,1
"Nme7",0.153892363955668,-0.698824272521307,0.008,0.01,1
"Nme8",0.0722243457210363,-1.90829551585719,0,0,1
"Nme9",0.505931440630734,-4.43909289151461,0,0,1
"Nmi",3.70567388489304e-15,-0.990527660794349,0.036,0.057,7.06116158766369e-11
"Nmnat1",0.160289073916195,-0.69145001080042,0.004,0.007,1
"Nmnat2",0.0178493504572746,0.512335430464878,0.001,0.001,1
"Nmnat3",0.301184266048791,0.039300805543149,0.016,0.015,1
"Nmral1",0.0618759298831877,0.0140906699314707,0.043,0.046,1
"Nmrk1",0.0976026016354514,-0.58800736200725,0.01,0.013,1
"Nmrk2",0.0695742088243675,-4.41764785544682,0,0,1
"Nms",0.364268928193442,-3.47089925295007,0,0,1
"Nmt1",3.62129763627642e-10,0.131359552711944,0.33,0.312,6.90038264592472e-06
"Nmt2",8.96022937221477e-06,0.209214583741638,0.059,0.045,0.170737170687552
"Nmu",0.0473406887336462,-3.35387949626426,0,0,1
"Nmur1",0.811296151467503,5.02625686366306,0,0,1
"Nmur2",0.0601674114445762,5.97602750713952,0,0,1
"Nnat",0.512559227296147,-4.13663221355718,0,0,1
"Nnmt",0.633289212003874,-0.712357219291848,0.001,0,1
"Nnt",0.0381730650092751,-0.0563732795775174,0.053,0.054,1
"Noa1",0.000135568209409201,-0.342396422097182,0.011,0.011,1
"Nob1",0.381668565298624,0.393478599272629,0.011,0.01,1
"Nobox",0.194482364927182,3.45935959132995,0,0,1
"Noc2l",0.938623423935093,-0.0357508415748141,0.184,0.197,1
"Noc3l",0.669837387332309,0.0116076879090254,0.026,0.026,1
"Noc4l",0.000382017157336214,-0.323981891216639,0.022,0.027,1
"Noct",0.00794209901278294,-0.208755942608727,0.039,0.047,1
"Nod1",8.35146806155273e-09,-0.478769538804561,0.079,0.093,0.000159137223912887
"Nod2",1.0344053345803e-18,-0.93818603717331,0.042,0.06,1.97105936504277e-14
"Nodal",0.361283031070115,-2.81186626173045,0,0,1
"Nog",0.0229620235172439,-2.67295571348847,0,0,1
"Nol10",1.07560958350717e-11,-0.791757760443887,0.04,0.059,2.04957406137291e-07
"Nol11",0.017269457531645,0.153567698595227,0.037,0.04,1
"Nol12",0.231411970734308,-0.158902932684901,0.047,0.047,1
"Nol3",0.300857968051662,-0.0125796334869452,0,0,1
"Nol4",0.0177441121936446,-0.636124326751486,0.001,0.002,1
"Nol4l",0.000601891048253947,-0.454436786035194,0.013,0.023,1
